,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,y
532,3,173,364,0.673382,0.619243,0.367532,0.852842,0.008899,0.496173,0.753665,0.242608,0.672541,0.631908,0.165891,0.985802,0.325517,0.806718,0.068122,0.871482,0.88656,0
447,3,88,538,0.997759,0.580561,0.679121,0.530227,0.184133,0.400308,0.354162,0.311699,0.958506,0.675266,0.218502,0.448845,0.306672,0.625189,0.657674,0.249816,0.703758,0
419,3,60,518,0.959324,0.035378,0.226162,0.280774,0.580513,0.985693,0.613749,0.226661,0.503158,0.565575,0.789564,0.71762,0.412961,0.360762,0.502212,0.041973,0.843921,0
291,2,112,482,0.892363,0.802123,0.984419,0.212193,0.808875,0.264226,0.969816,0.144152,0.741067,0.385611,0.071712,0.935856,0.227156,0.567388,0.04907,0.375561,0.10441,0
432,3,73,447,0.826922,0.406354,0.833845,0.365578,0.26832,0.968614,0.563184,0.293683,0.372078,0.073879,0.130735,0.914075,0.130585,0.423131,0.695344,0.460285,0.05565,0
203,2,24,182,0.337014,0.267667,0.146293,0.611027,0.607979,0.932884,0.100847,0.647992,0.6394,0.493841,0.278881,0.838653,0.048541,0.576465,0.133334,0.727012,0.024779,1
421,3,62,261,0.483073,0.630996,0.398858,0.821448,0.099103,0.020633,0.671835,0.987329,0.491378,0.315062,0.192911,0.328366,0.926487,0.870771,0.675432,0.314472,0.085217,1
300,2,121,237,0.43734,0.285545,0.082354,0.552145,0.258568,0.122338,0.040724,0.975787,0.310362,0.741989,0.960359,0.434486,0.094097,0.390292,0.729261,0.318428,0.142756,1
65,1,66,144,0.266649,0.105046,0.92215,0.232658,0.120187,0.022208,0.367209,0.936907,0.595062,0.593229,0.418347,0.331339,0.48161,0.194637,0.763,0.219925,0.233415,1
452,3,93,104,0.192319,0.736321,0.280574,0.186312,0.140274,0.407866,0.62178,0.56514,0.625201,0.679693,0.732388,0.254158,0.49474,0.011002,0.9229,0.712096,0.270385,1
480,3,121,300,0.554926,0.927009,0.732911,0.650768,0.251788,0.934305,0.155318,0.288734,0.629526,0.836605,0.575441,0.70245,0.09618,0.520316,0.861819,0.783295,0.855445,1
260,2,81,335,0.621089,0.498511,0.303224,0.162428,0.432369,0.101964,0.910235,0.805387,0.461148,0.640479,0.019831,0.335795,0.466479,0.24368,0.96769,0.093833,0.437397,1
312,2,133,193,0.357042,0.012811,0.599547,0.177581,0.126837,0.763115,0.606587,0.46544,0.691356,0.066099,0.377258,0.105607,0.757512,0.949646,0.197627,0.459818,0.305932,1
225,2,46,196,0.361708,0.360131,0.900579,0.770371,0.571773,0.937407,0.427482,0.236838,0.885329,0.840437,0.686895,0.634521,0.557665,0.754862,0.085976,0.934018,0.669536,1
246,2,67,53,0.096726,0.223834,0.250772,0.961914,0.778301,0.454327,0.988598,0.76536,0.373888,0.920885,0.860785,0.85638,0.904239,0.507426,0.02555,0.590664,0.655038,1
25,1,26,17,0.029995,0.500945,0.18144,0.501907,0.017165,0.683837,0.239436,0.694846,0.762668,0.11862,0.694098,0.489323,0.354129,0.527806,0.777713,0.309117,0.262728,1
335,2,156,66,0.121835,0.716785,0.586173,0.480664,0.620982,0.165217,0.45163,0.964818,0.280846,0.015481,0.106661,0.550966,0.457226,0.718171,0.053602,0.928325,0.372339,1
472,3,113,302,0.560933,0.478121,0.526266,0.75762,0.967341,0.042822,0.840235,0.663999,0.058176,0.672183,0.311557,0.59266,0.139145,0.864585,0.767072,0.580635,0.482022,1
500,3,141,526,0.973835,0.090476,0.164428,0.040273,0.344459,0.120275,0.772744,0.194194,0.148272,0.252729,0.716264,0.262768,0.244273,0.925576,0.613216,0.291551,0.96719,1
187,2,8,267,0.494364,0.711681,0.997673,0.843794,0.408866,0.659351,0.542173,0.829519,0.06609,0.62001,0.131261,0.918763,0.875926,0.296322,0.649885,0.124715,0.208381,1
27,1,28,80,0.148787,0.34509,0.085157,0.737007,0.345312,0.172234,0.69067,0.097401,0.183404,0.371574,0.480701,0.506994,0.823968,0.146708,0.59553,0.371591,0.199846,1
110,1,111,11,0.017452,0.922932,0.727869,0.594623,0.704475,0.92507,0.170789,0.648957,0.002015,0.696646,0.917204,0.181028,0.05678,0.572946,0.735757,0.259847,0.966721,1
160,1,161,86,0.15595,0.040233,0.535631,0.08859,0.047782,0.96375,0.029533,0.293696,0.591742,0.827948,0.028265,0.458621,0.596637,0.938015,0.620209,0.055256,0.16891,1
240,2,61,358,0.661924,0.469432,0.805303,0.80632,0.971167,0.811572,0.054232,0.387503,0.359864,0.460489,0.345397,0.146698,0.684888,0.322049,0.634996,0.395029,0.554679,1
414,3,55,255,0.470368,0.390141,0.820759,0.435316,0.873405,0.242127,0.015095,0.099207,0.425655,0.511544,0.278905,0.863853,0.82154,0.918147,0.284081,0.832022,0.149193,1
173,1,174,415,0.767923,0.365955,0.859419,0.746208,0.747149,0.959217,0.658293,0.130017,0.030489,0.937647,0.165922,0.063436,0.01281,0.85132,0.833376,0.857848,0.67838,1
73,1,74,425,0.7885,0.392745,0.862112,0.815376,0.631075,0.470086,0.528564,0.979535,0.649464,0.384347,0.175653,0.344239,0.701359,0.301936,0.939268,0.316415,0.701766,1
109,1,110,462,0.854629,0.720635,0.130296,0.307417,0.286973,0.524143,0.509764,0.313394,0.918792,0.089391,0.026184,0.855733,0.7934,0.059836,0.814484,0.167914,0.371606,1
123,1,124,165,0.305146,0.608535,0.403426,0.182833,0.956845,0.929041,0.222593,0.845124,0.777938,0.057045,0.049813,0.987831,0.783073,0.285759,0.1023,0.302431,0.229315,1
134,1,135,304,0.565504,0.019014,0.571064,0.682902,0.407882,0.766287,0.441099,0.193066,0.251012,0.623529,0.673563,0.55856,0.450643,0.837323,0.39767,0.841743,0.09506,1
468,3,109,114,0.207817,0.35393,0.477163,0.927125,0.393286,0.813237,0.759658,0.386056,0.069948,0.72113,0.587641,0.69813,0.010211,0.132105,0.010669,0.134106,0.405786,1
208,2,29,310,0.572661,0.440571,0.202821,0.998944,0.756146,0.234254,0.322156,0.616809,0.260423,0.694949,0.849163,0.04393,0.784801,0.631047,0.37197,0.175243,0.186461,1
470,3,111,132,0.242807,0.15059,0.671245,0.20174,0.494233,0.699953,0.992705,0.502457,0.823624,0.559883,0.854714,0.616452,0.659111,0.542818,0.402036,0.97844,0.493382,1
146,1,147,474,0.8766,0.110604,0.224991,0.373671,0.562109,0.375331,0.079091,0.44977,0.0629,0.76946,0.878935,0.950826,0.046452,0.706323,0.928668,0.096912,0.324681,1
352,2,173,75,0.138693,0.120078,0.183621,0.577093,0.363345,0.519587,0.153257,0.533517,0.067084,0.094038,0.677661,0.267294,0.300686,0.842173,0.942925,0.917008,0.899544,1
119,1,120,198,0.363261,0.118812,0.669844,0.163972,0.423382,0.651811,0.542261,0.116165,0.124233,0.318853,0.766789,0.485639,0.690476,0.294831,0.686634,0.274841,0.575016,1
417,3,58,291,0.53628,0.565743,0.377013,0.208888,0.541106,0.9411,0.246147,0.656331,0.399044,0.416188,0.910701,0.259356,0.329601,0.469342,0.896445,0.383809,0.290736,1
100,1,101,42,0.077761,0.058896,0.436346,0.33151,0.771729,0.67225,0.293345,0.051208,0.643213,0.174858,0.836967,0.395564,0.561437,0.279825,0.631974,0.195663,0.99882,1
89,1,90,5,0.008994,0.579833,0.75404,0.32492,0.36482,0.093782,0.696464,0.074278,0.816184,0.844058,0.578837,0.099853,0.812297,0.85828,0.604816,0.527396,0.38039,1
82,1,83,395,0.730205,0.949889,0.274113,0.821364,0.99045,0.045889,0.115101,0.168343,0.00952,0.823803,0.53283,0.603478,0.076425,0.240845,0.438138,0.866115,0.109019,1
269,2,90,9,0.01369,0.020551,0.499304,0.815354,0.592449,0.863679,0.129054,0.193048,0.635245,0.852188,0.748406,0.959875,0.524044,0.987117,0.914304,0.277974,0.340787,1
204,2,25,387,0.712007,0.643306,0.602248,0.548332,0.478596,0.691802,0.74166,0.626879,0.715417,0.098868,0.450471,0.013331,0.287965,0.811486,0.611515,0.273716,0.36662,1
104,1,105,384,0.710956,0.883788,0.122997,0.905278,0.236193,0.367033,0.781591,0.344565,0.817351,0.712681,0.549026,0.851187,0.306865,0.205398,0.645744,0.883286,0.752249,1
373,3,14,478,0.886196,0.981363,0.494362,0.40807,0.047486,0.80267,0.242502,0.495648,0.975109,0.360292,0.528245,0.959894,0.907571,0.774733,0.685984,0.765799,0.018258,1
384,3,25,471,0.871867,0.911617,0.715718,0.291163,0.608274,0.073636,0.98155,0.746981,0.29774,0.819975,0.209107,0.221563,0.22206,0.835584,0.642578,0.55095,0.861889,1
74,1,75,328,0.608293,0.168283,0.676352,0.013716,0.81918,0.541494,0.493468,0.180408,0.612112,0.465531,0.90226,0.631584,0.099089,0.542684,0.163613,0.816358,0.711909,1
459,3,100,85,0.155878,0.643379,0.925187,0.90017,0.17164,0.093846,0.046379,0.835755,0.522719,0.096126,0.500921,0.75656,0.853889,0.475632,0.993639,0.565388,0.081418,1
418,3,59,436,0.806055,0.606293,0.061993,0.735519,0.275446,0.910089,0.860013,0.369611,0.785909,0.222385,0.925076,0.940056,0.464118,0.016735,0.820925,0.977265,0.689035,1
473,3,114,213,0.394278,0.200252,0.865861,0.275919,0.069851,0.838612,0.464118,0.453835,0.546629,0.022511,0.120494,0.790499,0.214793,0.8229,0.409229,0.441406,0.257675,1
49,1,50,451,0.834265,0.732401,0.375062,0.720275,0.939297,0.224491,0.860446,0.866764,0.830676,0.989771,0.575232,0.441944,0.32576,0.009097,0.947493,0.845073,0.639294,1
278,2,99,58,0.108256,0.72455,0.398611,0.200438,0.134774,0.227136,0.077468,0.78276,0.592842,0.150918,0.896464,0.503166,0.965037,0.844457,0.581349,0.637655,0.062904,1
259,2,80,514,0.951451,0.174004,0.945407,0.298733,0.937822,0.512185,0.5448,0.506244,0.138637,0.805466,0.782615,0.878643,0.362988,0.235491,0.506836,0.67649,0.593071,1
241,2,62,294,0.543549,0.709914,0.714643,0.267494,0.565613,0.860771,0.597583,0.760393,0.797279,0.936349,0.368561,0.098085,0.214706,0.276166,0.571364,0.362373,0.275504,1
253,2,74,461,0.854503,0.275652,0.850838,0.717464,0.088588,0.974358,0.223561,0.257285,0.553772,0.245979,0.826927,0.68208,0.704099,0.168094,0.784467,0.004093,0.498645,1
390,3,31,413,0.76443,0.847149,0.051406,0.64974,0.235101,0.231772,0.314433,0.816677,0.176789,0.109672,0.490705,0.146894,0.469455,0.433923,0.645516,0.650624,0.959569,1
