,glcm_pan,mean_g,mean_r,mean_nir,sd_plan,y
4485,113.647321,222.428571,149.857143,530.714286,34.420939,0
34,124.611009,180.826087,93.434783,242.608696,9.803702,0
4538,129.741509,209.820896,118.149254,467.104478,18.916731,0
4661,136.032319,221.0,124.090909,514.090909,17.60014,0
4358,125.074803,254.8125,147.5,388.25,20.224424,0
4730,139.947735,206.666667,111.277778,523.888889,21.204672,0
4345,124.010204,215.594595,117.027027,477.297297,24.574628,0
4428,135.164894,203.805556,114.638889,391.111111,12.834025,0
18,106.242105,221.75,140.0,381.166667,18.903263,0
4402,118.155323,176.861111,87.555556,262.083333,21.753015,0
54,132.404776,201.305556,125.407407,373.805556,23.220295,0
4401,136.162162,189.571429,99.571429,331.571429,15.590421,0
55,127.80718,202.711957,120.722826,415.804348,27.258971,0
72,138.614314,213.603175,126.111111,421.0,18.304925,0
53,122.797834,202.342857,132.485714,322.285714,15.835378,0
4656,143.022956,212.204546,124.454546,487.795455,24.121454,0
30,124.591944,179.416667,89.083333,208.083333,20.352602,0
4706,110.28744,180.423077,91.692308,306.730769,16.134054,0
4478,115.542798,205.233333,124.133333,408.033333,15.102943,0
4374,131.255385,188.843374,95.216867,246.457831,12.99957,0
4654,135.337423,196.16129,112.774194,487.354839,13.547926,0
4587,119.379747,195.685714,109.857143,411.228571,14.165033,0
4451,131.24812,209.72,143.64,410.16,15.312335,0
58,128.368754,211.354497,140.650794,411.301587,24.842135,0
4515,146.261719,206.34375,109.375,536.03125,15.973489,0
49,132.279558,213.508772,126.210526,503.631579,26.666932,0
4528,114.896825,202.625,97.75,505.125,20.799264,0
830,116.696017,218.5,105.233333,427.0,28.421119,1
3710,124.147014,279.902439,168.97561,430.048781,35.118784,1
2963,116.071046,206.212766,89.340426,560.723404,28.631547,1
3207,116.250667,212.595745,94.212766,549.212766,41.764521,1
797,124.758929,211.0,99.285714,592.857143,7.94111,1
1591,164.21875,211.0,86.0,678.0,7.245688,1
971,125.163793,266.034483,159.827586,266.896552,29.105736,1
3600,128.397025,244.454546,117.745455,523.763636,17.623763,1
670,119.0,190.0,89.0,434.0,23.075623,1
3452,124.551319,265.302181,145.034268,178.757009,6.245942,1
2603,168.760417,228.5,104.666667,769.833333,9.441339,1
1179,111.309524,225.666667,92.047619,623.809524,19.870784,1
1111,115.56875,224.3,104.4,526.1,21.334479,1
95,124.018476,170.927273,69.072727,217.836364,13.337253,1
74,142.867713,228.678571,104.392857,674.964286,32.399531,1
277,140.263258,233.69697,105.181818,717.090909,33.264309,1
3491,130.993343,182.616279,78.337209,217.430233,15.604378,1
2893,131.366112,186.0,82.738095,273.642857,17.180052,1
973,155.428571,384.0,220.571429,391.714286,71.405139,1
2671,140.554645,247.782609,129.869565,503.26087,25.529922,1
4164,129.156656,354.649351,283.922078,650.168831,31.948321,1
3881,122.949597,943.451613,736.935484,778.387097,16.664405,1
3673,103.048611,337.777778,198.222222,441.111111,71.039026,1
2163,140.731812,217.954546,97.022727,649.363636,29.217436,1
2829,117.007353,210.970588,90.029412,538.5,31.770751,1
2649,168.8375,252.0,122.0,580.0,17.843766,1
857,134.195,278.32,183.92,336.52,25.005791,1
2048,135.552604,230.050848,107.033898,598.677966,14.805044,1
2427,116.919608,195.3125,85.1875,415.84375,31.518208,1
4386,136.742543,190.6875,81.85,338.6,19.535988,1
4712,121.946203,195.8,93.6,346.8,15.829087,1
2724,135.464321,188.0,83.107692,332.138462,18.909151,1
1180,136.766212,224.891892,97.756757,513.081081,25.193945,1
4711,139.082873,195.173913,80.347826,455.695652,14.5022,1
3051,129.005012,246.06,116.68,719.14,23.569311,1
2573,114.570866,218.395833,99.520833,448.729167,12.353025,1
1138,139.917847,191.0,82.26087,395.478261,18.921887,1
2577,134.756719,245.933333,127.111111,562.177778,14.674476,1
1052,76.515625,326.0,228.0,357.5,17.078861,1
3117,128.621546,233.445055,103.186813,706.351648,11.739602,1
139,140.75,213.684211,95.210526,756.368421,10.72755,1
3721,123.292093,230.982906,110.74359,648.128205,31.529934,1
432,150.535714,223.142857,101.285714,655.428571,27.776807,1
3711,130.171323,178.37386,76.182371,189.513678,10.487265,1
199,99.854167,189.222222,89.0,521.666667,18.296596,1
3644,127.641241,196.474227,83.134021,490.030928,50.388722,1
1879,134.030651,227.545455,100.636364,589.818182,26.251626,1
254,137.100216,212.844828,95.87931,600.586207,29.689635,1
660,156.242188,240.0,110.5,726.0,29.626582,1
3433,136.160777,243.75,133.222222,255.833333,7.671647,1
1680,137.322917,238.666667,113.333333,790.5,34.134131,1
2793,123.00687,252.5,143.792683,313.548781,32.354422,1
3463,122.460377,256.06,143.46,268.16,30.168361,1
3177,113.273543,218.0,97.214286,603.178571,24.369891,1
1124,145.485916,215.888889,98.888889,499.333333,7.475061,1
4115,126.844292,277.145078,179.26943,453.067358,16.350069,1
211,133.479957,196.862069,85.293103,580.086207,15.100151,1
1433,111.996504,215.5,96.055556,567.611111,30.307936,1
2651,144.229167,246.666667,116.666667,823.666667,33.00505,1
1150,119.22629,241.657895,128.684211,490.81579,20.93462,1
3464,132.98659,234.969697,140.530303,345.893939,10.63836,1
3016,139.325137,195.782609,80.608696,441.434783,21.784474,1
3162,116.426531,220.086957,96.663043,566.315217,27.012661,1
3378,134.254668,213.833333,96.642857,488.452381,18.878625,1
1115,125.94517,227.791667,113.5625,476.041667,16.211653,1
3668,132.777339,296.538117,189.860987,409.807175,36.129553,1
2130,154.331731,208.769231,93.846154,561.307692,11.921836,1
3145,104.931035,239.090909,116.181818,731.636364,17.560756,1
3357,142.176113,215.483871,96.693548,496.677419,28.103162,1
3302,122.183594,190.0,81.5,324.5,39.192633,1
2332,113.577024,202.833333,84.854167,490.125,28.711901,1
2669,144.450704,248.0,114.0,876.0,26.981475,1
516,152.9125,234.6,100.8,821.2,34.401163,1
4554,87.587302,186.25,84.0,360.0,14.840822,1
1250,131.729167,219.619048,95.952381,686.904762,35.15763,1
118,138.233824,214.418605,97.44186,730.813954,26.142742,1
4605,112.882353,194.0,80.0,391.666667,16.198217,1
2833,112.595238,190.285714,83.285714,355.142857,31.16673,1
2825,130.713247,238.240506,109.417722,690.708861,8.728709,1
1328,143.36875,221.5,95.8,608.9,29.31399,1
3861,134.160415,494.082397,346.059925,384.88764,48.084962,1
701,133.514349,202.280702,90.45614,467.22807,15.63905,1
4383,132.02651,244.069767,123.232558,703.930233,23.601638,1
344,140.614286,210.5,92.590909,564.5,30.27672,1
2503,131.699198,212.829787,96.021277,512.531915,31.431387,1
80,115.849866,235.893617,107.106383,757.212766,19.601577,1
2437,143.708609,220.894737,100.684211,560.631579,20.76781,1
3211,133.968647,209.078947,92.289474,485.605263,33.477491,1
3806,142.143498,237.214286,109.714286,502.928571,28.588633,1
1320,127.892857,222.857143,104.428571,712.142857,15.106425,1
288,119.801932,229.538462,104.384615,655.076923,36.684264,1
2531,112.011905,257.660377,120.830189,871.377359,28.039234,1
2606,122.087167,284.0,176.076923,303.788462,24.543849,1
3138,140.473451,245.901409,114.830986,656.71831,31.280159,1
1796,129.767717,213.5,94.5,794.75,28.439629,1
308,158.678733,208.285714,94.5,438.071429,8.362025,1
3825,129.015665,236.55184,130.869565,375.852843,29.515514,1
4321,120.812009,224.589286,107.151786,578.232143,42.188984,1
2983,127.608029,176.0,73.689655,275.632184,12.686635,1
1443,119.603261,221.862069,96.62069,620.293103,25.927761,1
1525,125.610209,214.333333,95.407407,574.888889,20.391908,1
3408,122.249427,234.590909,107.15,848.827273,21.441013,1
1016,183.28125,328.0,223.0,384.0,7.0,1
962,117.976355,322.265625,207.625,422.515625,28.03095,1
2976,124.621897,210.646465,96.171717,627.49495,18.504433,1
3120,123.776224,203.555556,90.080808,378.616162,18.241826,1
3784,136.248016,229.2,119.978947,480.705263,34.138963,1
3250,116.730539,204.142857,94.809524,419.619048,33.424569,1
4523,111.625,186.5,75.0,281.75,19.980155,1
352,112.572864,217.28,103.08,651.0,29.190519,1
293,147.454023,202.636364,96.409091,549.772727,19.930302,1
4449,126.706304,194.522727,95.113636,337.113636,10.860569,1
1113,128.361588,211.525424,96.762712,508.525424,23.210143,1
2284,145.112613,204.714286,85.714286,495.071429,22.285829,1
4787,136.189024,235.761905,125.095238,630.142857,19.446187,1
2969,118.117347,205.702703,90.486486,524.72973,30.807634,1
2179,135.621849,212.133333,93.4,512.4,25.893285,1
2494,121.503704,198.882353,85.882353,509.588235,17.797982,1
2654,123.719259,275.178571,163.628571,462.05,14.979578,1
914,123.546196,314.826087,205.26087,336.73913,25.10959,1
1503,115.788691,256.857143,125.238095,785.428571,9.762021,1
240,148.046875,196.75,94.125,481.0,18.389769,1
510,129.819172,229.448276,104.344828,691.896552,21.742248,1
1585,140.430818,195.85,86.65,524.4,11.24322,1
1626,134.834821,279.428571,118.928571,912.714286,18.976893,1
3224,133.680339,193.015544,82.124352,325.010363,21.843892,1
1213,137.841897,190.0,92.75,309.75,13.604773,1
1123,122.4875,231.6,107.8,569.4,11.976644,1
2412,125.334419,207.241379,88.965517,405.293103,23.104741,1
1353,157.895833,233.0,104.666667,519.666667,23.25224,1
3436,128.405852,216.56,98.98,306.18,22.946581,1
3707,126.750445,251.025078,124.996865,575.799373,43.974185,1
181,110.288194,199.277778,82.222222,622.055556,34.916169,1
1694,107.004167,212.266667,96.0,683.333333,17.184489,1
392,141.380392,211.875,96.25,621.9375,15.77961,1
2176,107.635678,250.12,118.92,943.76,22.288078,1
189,112.027778,211.043478,92.217391,634.434783,23.235297,1
2319,138.69863,199.130435,87.478261,458.913044,8.872549,1
4020,118.614238,234.81579,113.25,612.460526,27.58556,1
2934,117.966929,197.65,82.925,308.025,18.612832,1
4731,132.369845,213.877551,113.591837,585.387755,22.950284,1
2314,118.91685,204.307018,89.201754,509.008772,25.23995,1
249,137.198413,215.625,99.125,464.625,24.020499,1
3793,124.178204,211.839623,98.814465,481.669811,36.526492,1
2553,135.536585,252.113636,131.386364,649.159091,16.327359,1
1236,113.645833,213.0,99.0,414.0,36.03432,1
3676,116.978698,252.528302,131.566038,582.490566,18.256314,1
1831,125.363763,227.881482,104.22963,643.140741,28.00983,1
1190,99.1875,250.5,135.0,527.0,17.752152,1
4505,137.691964,213.0,94.071429,493.619048,38.112139,1
1048,147.601563,465.125,319.9375,513.1875,25.88549,1
3615,136.434426,193.456522,93.543478,467.543478,25.1669,1
2681,125.000746,244.523438,113.40625,728.4375,12.295827,1
4160,134.237994,275.595506,183.483146,465.629214,27.282028,1
692,121.055556,237.930233,105.883721,702.72093,23.170705,1
3539,114.331731,199.384615,82.307692,413.846154,42.000986,1
4302,132.475069,198.30625,89.15,595.3,33.131837,1
3231,113.800315,204.9,91.625,385.825,30.435988,1
4809,149.716216,253.071429,135.428571,319.142857,26.842796,1
107,141.350694,224.444444,107.111111,668.666667,30.063924,1
3042,141.5,227.863636,102.909091,664.409091,25.830543,1
3831,134.822076,235.578947,112.789474,553.210526,25.775842,1
4393,129.10625,171.1,66.6,225.2,19.103926,1
2947,124.118785,207.164835,89.835165,560.054945,28.757383,1
2889,130.662214,213.969697,96.045455,649.030303,32.699975,1
3476,123.480011,248.447598,140.40393,424.622271,15.020064,1
1463,130.809264,207.26087,92.652174,383.173913,26.830632,1
3104,121.981426,253.682353,119.388235,808.282353,19.470336,1
4186,127.874935,419.701646,301.360082,340.31893,19.941792,1
1922,112.713204,230.844828,108.37931,746.258621,25.67466,1
2095,133.612637,183.347826,81.130435,285.695652,16.463054,1
1423,115.505929,232.5,99.5625,584.4375,22.049571,1
2730,127.842566,210.255814,86.976744,473.534884,41.473743,1
959,116.040936,416.325581,341.674419,453.465116,12.265893,1
2745,141.615108,204.657143,91.285714,448.885714,24.37955,1
3067,161.4,239.8,122.2,405.8,22.650386,1
1629,134.622472,194.75,88.339286,440.142857,23.462023,1
1477,133.68207,229.823529,103.470588,730.294118,22.92473,1
4050,126.863103,445.145833,335.458333,582.3125,20.046777,1
2020,119.251931,278.138462,170.061539,405.876923,19.065629,1
3251,115.080097,200.961539,87.230769,432.230769,17.545587,1
4811,126.933472,193.540984,96.229508,270.557377,17.728733,1
1673,121.452278,212.327586,95.741379,623.62069,23.834254,1
1479,118.235294,219.411765,104.058824,574.294118,12.970555,1
1991,132.520446,216.470588,100.941177,481.705882,30.783989,1
859,127.4375,488.5,321.5,544.25,32.802439,1
3115,145.854167,216.333333,93.666667,366.666667,11.308797,1
1892,131.013725,197.375,85.25,383.375,35.518866,1
1357,137.716912,210.823529,91.882353,397.764706,25.093872,1
3418,127.167232,270.535714,171.732143,300.017857,11.415785,1
2803,118.257129,202.085938,90.210938,360.375,21.284988,1
2376,118.601399,234.888889,115.833333,675.5,34.055,1
4090,126.226626,261.5,148.322581,632.120968,22.127469,1
4287,116.206776,199.203704,89.333333,535.314815,25.142775,1
3199,102.454955,216.428571,97.428571,445.714286,11.291364,1
1157,117.426136,246.818182,162.818182,327.818182,29.014388,1
3121,131.704856,243.836364,112.572727,682.15,9.257068,1
1184,103.925,250.5,152.0,472.0,18.179384,1
1338,132.639216,222.78125,94.59375,671.96875,30.101651,1
3960,134.97379,257.709677,164.193548,313.258065,37.746264,1
1988,114.8125,208.5,94.5,474.388889,23.127398,1
4749,115.776471,189.75,85.875,250.5,7.206497,1
3857,115.60037,245.191177,119.161765,724.544118,37.465864,1
1903,137.503448,201.826087,88.73913,481.391304,17.157119,1
3066,130.81017,255.339286,143.589286,482.910714,20.72142,1
3501,136.476923,233.341463,114.829268,430.536585,14.703171,1
84,130.118358,230.230769,104.192308,689.346154,16.023282,1
2680,123.396867,244.104167,107.6875,685.958333,29.827513,1
2623,126.947977,243.272727,108.954546,687.090909,10.926974,1
3484,118.138931,221.97561,101.634146,633.963415,37.791831,1
970,87.703125,351.0,261.0,377.0,10.173495,1
4069,134.83676,238.029703,128.970297,464.841584,33.133196,1
1181,142.829787,246.333333,129.333333,487.333333,18.60373,1
2538,110.329546,229.090909,108.772727,564.863636,15.593294,1
546,125.149606,233.5,120.5,852.0,29.865257,1
