,glcm_pan,mean_g,mean_r,mean_nir,sd_plan,y
3203,139.399915,187.127517,78.583893,332.369128,22.836817,1
1314,107.479058,239.5,104.583333,761.833333,14.888416,1
3403,98.898438,220.75,100.75,572.5,27.959793,1
3098,128.8125,236.454546,110.454546,663.272727,35.974279,1
2476,117.159521,239.063492,115.222222,620.349206,26.636273,1
2430,129.268775,278.416667,160.416667,378.5,16.329719,1
4357,136.441799,214.041667,115.25,579.416667,17.010413,1
1517,120.597656,205.4375,91.25,565.8125,15.872539,1
1559,142.52963,254.5,116.529412,871.147059,10.154856,1
2723,121.911411,218.119048,96.047619,583.02381,27.476232,1
4261,122.57453,287.62069,212.011494,353.333333,25.881709,1
3776,117.083676,248.445652,137.423913,510.086957,27.053533,1
2819,129.287,250.763867,115.939778,718.908082,9.627593,1
764,123.019364,238.391304,119.445652,446.554348,14.426333,1
2526,125.780435,234.172414,115.206897,451.103448,27.72491,1
3726,132.826746,200.189655,91.12931,365.275862,26.978318,1
1544,155.618056,218.888889,94.888889,698.111111,17.237628,1
2863,140.834118,184.481482,75.87037,316.703704,11.614596,1
3986,126.228142,462.804348,261.673913,397.652174,18.984971,1
1554,124.675,202.0,88.0,591.0,40.627085,1
1165,104.7,275.1,178.0,462.7,41.253,1
4623,128.695313,197.1875,86.1875,608.4375,20.65755,1
2302,123.91897,195.01,84.09,365.3,25.919367,1
2564,116.680653,237.555556,113.203704,705.777778,28.128648,1
3428,120.203518,235.84,107.64,823.12,33.787193,1
1875,116.823881,204.428571,92.714286,394.642857,20.814318,1
1270,139.831897,207.62069,94.241379,465.965517,23.98181,1
2338,136.698795,198.038462,85.192308,310.115385,9.723165,1
1055,145.35,285.733333,185.466667,397.088889,26.044084,1
2979,124.441558,268.587629,150.0,421.659794,15.87499,1
500,135.742647,226.764706,104.705882,754.676471,20.04435,1
829,120.625,438.0,268.0,461.0,31.613921,1
2327,132.0,187.333333,78.647059,334.372549,20.418422,1
960,130.5802,211.12,99.04,405.46,19.3089,1
1247,122.276151,237.6,115.533333,528.6,36.229761,1
303,146.916667,251.333333,113.2,770.933333,31.877265,1
1613,124.289063,262.125,122.625,815.25,21.148779,1
2879,143.374252,206.190476,91.952381,455.52381,21.579574,1
3573,108.59375,209.1,99.3,415.6,25.722558,1
2208,137.165,250.84,121.16,790.52,21.854574,1
3872,136.73913,231.265306,111.489796,592.55102,29.565731,1
4551,146.428571,192.5,88.0,593.571429,28.328341,1
4274,123.342215,213.661157,99.033058,592.942149,30.968886,1
1624,119.871771,251.441177,118.676471,884.661765,19.172997,1
2231,117.570048,249.923077,124.961539,650.634615,20.055056,1
983,124.755489,330.15873,239.857143,325.031746,27.580104,1
3652,116.802292,171.045455,79.272727,334.136364,37.850183,1
1816,108.821875,213.8,95.05,571.9,16.152709,1
1120,136.270936,187.0,85.538462,340.153846,20.938908,1
312,119.342342,227.571429,106.714286,717.857143,28.60498,1
2261,118.548354,272.770492,134.163934,765.770492,25.523953,1
3698,120.596236,242.906911,116.163611,635.715092,28.087738,1
1169,132.335953,205.59375,91.40625,625.4375,25.788029,1
1895,95.857143,248.142857,116.285714,805.428571,15.663554,1
751,114.509709,241.230769,130.384615,517.923077,31.781987,1
375,109.456842,209.1,94.5,562.666667,25.522191,1
453,142.340278,212.0,86.666667,552.888889,30.730258,1
4001,131.284306,237.843374,130.240964,453.036145,28.259313,1
2263,119.017964,188.333333,82.47619,354.666667,21.717836,1
946,101.729167,226.333333,103.333333,655.666667,20.704267,1
3046,128.063404,244.105263,111.350877,751.491228,8.17461,1
1558,144.178947,192.666667,87.666667,563.666667,25.824595,1
3775,134.665428,205.451613,96.543011,365.080645,30.571782,1
1691,142.1,222.0,101.0,697.0,51.795753,1
407,138.456522,218.478261,97.173913,666.26087,27.873669,1
1535,141.841912,265.941176,119.411765,876.823529,25.681574,1
3903,137.09512,208.015873,90.97619,423.968254,27.990667,1
1634,117.884524,206.433962,94.45283,452.754717,26.17651,1
736,140.202703,192.142857,86.428571,459.857143,13.722654,1
3422,104.712644,224.454546,112.636364,495.454546,16.659447,1
4034,125.946106,403.830986,201.289738,355.871227,8.64578,1
567,127.652284,229.16,101.12,677.08,19.671136,1
3594,120.923142,240.966667,117.066667,668.746667,26.287302,1
3281,140.115964,185.595238,78.857143,299.071429,13.861663,1
3955,119.35388,228.385417,107.659722,605.048611,30.801978,1
232,133.140678,228.27027,103.648649,632.756757,31.100135,1
2222,123.297429,189.8,80.588889,397.211111,35.030244,1
464,127.562217,229.063063,101.153153,764.126126,28.529655,1
3773,124.026356,218.910569,105.487805,594.939024,28.089855,1
3769,133.617801,218.9375,115.375,417.458333,27.501484,1
115,109.638889,206.555556,97.666667,463.555556,20.259429,1
2985,124.01087,234.608696,112.304348,315.347826,43.03812,1
2696,120.518438,262.37931,120.103448,914.793103,38.86802,1
2223,132.922195,185.766234,78.558442,349.402597,25.591139,1
3682,137.681497,203.88764,92.370787,372.595506,23.527081,1
2882,136.049614,216.140351,96.842105,503.421053,34.28748,1
531,130.584635,223.9375,99.104167,665.895833,28.111563,1
3870,123.824479,226.9125,104.825,498.88125,38.879517,1
2781,115.6875,208.083333,95.777778,425.527778,42.710915,1
2193,104.265152,231.28,106.64,718.28,24.791805,1
3356,122.434402,202.446154,88.769231,477.246154,24.626747,1
4822,127.029581,180.714286,79.194805,171.935065,12.660559,1
911,133.874419,244.962963,139.481482,226.296296,19.092224,1
158,162.1,221.0,99.0,612.0,11.757551,1
2281,131.339457,267.303797,127.873418,791.708861,20.765945,1
2991,132.956364,193.211539,84.855769,331.855769,15.41539,1
4414,132.934307,218.953488,96.418605,677.604651,22.596898,1
2124,118.511111,225.210526,100.631579,702.754386,26.416451,1
1039,113.738676,260.333333,149.666667,354.333333,18.278706,1
1800,112.535519,208.478261,86.826087,470.26087,18.03672,1
472,138.900612,208.292683,93.829268,503.365854,23.39847,1
3656,128.624771,187.440678,80.789346,347.104116,29.997974,1
2344,110.4375,204.0,87.590909,509.636364,28.009591,1
794,102.613527,242.230769,123.0,634.307692,14.804046,1
376,140.904459,195.3,85.7,498.0,12.924686,1
4141,127.481872,280.157895,165.378947,741.252632,40.357433,1
4641,144.401434,197.171429,87.2,570.742857,21.118905,1
3599,101.84375,222.5,103.166667,405.0,22.161654,1
451,108.59375,232.9,99.5,671.2,30.450616,1
4678,123.673077,193.153846,88.538462,554.461539,21.40287,1
1182,133.171908,237.9,119.566667,505.033333,19.853043,1
2855,124.990552,195.209302,84.05814,399.848837,31.954709,1
359,135.519298,200.444444,90.805556,515.888889,12.661427,1
1202,129.842995,228.076923,107.384615,551.346154,38.527732,1
2210,147.194444,251.888889,129.944444,691.555556,25.3446,1
2673,122.808547,266.486487,147.378378,486.527027,16.711578,1
1119,112.31003,224.761905,113.476191,471.476191,20.850075,1
3802,119.281741,250.71875,120.958333,640.583333,33.743426,1
1218,137.305263,220.666667,110.0,494.333333,28.388671,1
1684,118.28125,221.714286,101.714286,701.428571,25.645145,1
934,134.527778,211.0,93.222222,486.666667,19.094712,1
2271,126.075145,184.181818,79.363636,309.181818,7.439008,1
4736,110.943182,210.909091,92.818182,625.545455,34.269713,1
1216,110.488281,230.0625,103.875,543.8125,26.564706,1
4189,117.493056,513.555556,347.444444,386.111111,104.439243,1
3800,132.414096,238.502591,130.373057,391.637306,40.861985,1
3987,125.513221,271.884615,154.942308,405.442308,30.611736,1
731,124.299838,202.384615,98.205128,331.179487,14.194942,1
3819,126.398295,412.721519,196.93038,364.924051,10.981777,1
1306,137.913613,201.833333,90.333333,462.166667,23.075021,1
2001,149.345912,210.7,98.4,385.6,15.383433,1
4757,134.663609,182.02439,78.560976,254.682927,17.66049,1
2639,134.529817,229.254546,106.872727,590.781818,16.520801,1
2393,128.255491,202.139535,91.406977,541.430233,18.07634,1
4046,128.689394,492.52,271.12,405.04,18.139636,1
824,115.828125,232.25,109.75,516.25,13.200379,1
666,115.925824,199.956522,89.521739,429.043478,39.838379,1
2888,117.568628,216.54902,97.196078,644.843137,39.397842,1
2771,120.588453,283.4,140.411765,776.788235,17.906655,1
1100,119.635417,208.333333,91.333333,480.333333,15.787653,1
4017,133.224006,244.855556,139.177778,430.866667,38.195378,1
1950,127.745434,209.181818,96.381818,570.2,41.612236,1
1078,133.809352,194.057143,87.114286,376.657143,19.913814,1
2675,137.323171,244.064516,114.806452,733.612903,30.662338,1
2375,140.583333,209.0,96.0,475.333333,32.874762,1
163,121.129139,220.421053,107.789474,767.0,23.223069,1
3780,136.940014,219.191011,107.764045,496.359551,34.942205,1
1972,141.657233,205.55,90.45,558.35,40.393193,1
3320,138.913793,219.318182,98.909091,496.022727,18.053224,1
2480,133.444,279.0,169.5,392.0,8.634958,1
3524,130.616767,173.625,69.625,199.25,10.626425,1
3074,137.436937,246.880952,120.547619,599.404762,19.749566,1
3612,130.877678,196.811146,84.501548,465.356037,34.695564,1
2235,129.4375,214.764706,100.0,438.882353,45.135091,1
837,125.836957,293.057692,188.057692,473.673077,21.414271,1
3478,117.968504,215.805556,98.736111,679.597222,23.272635,1
3737,126.255548,208.674033,91.98895,521.762431,35.92782,1
452,131.838624,227.642105,104.505263,655.747368,23.553699,1
4710,119.168487,231.135803,107.209877,741.283951,19.672195,1
2232,128.384863,201.589744,88.871795,502.179487,18.730449,1
950,125.988959,178.875,74.675,258.175,11.85232,1
2105,134.333735,238.636015,109.62069,783.846743,24.598468,1
1239,144.720588,212.058824,90.235294,585.294118,20.770621,1
1005,143.07767,424.923077,330.923077,460.769231,34.414803,1
4035,125.716055,225.557491,128.101045,194.285714,14.360709,1
1872,154.9375,207.333333,87.666667,647.0,11.081767,1
1023,120.233957,311.531915,201.680851,433.340426,38.814296,1
148,136.543046,200.578947,85.105263,450.736842,16.121423,1
1136,119.799145,211.0,96.933333,384.733333,22.320295,1
2869,140.616314,205.761905,92.119048,487.833333,21.153955,1
4196,132.077141,192.153153,81.567568,338.243243,24.4847,1
486,122.988235,206.418605,91.790698,590.790698,25.471455,1
4083,126.762883,447.326829,370.004878,550.590244,49.09102,1
2674,122.016372,244.369863,113.910959,708.130137,17.282091,1
2630,114.387795,228.53125,110.90625,526.21875,28.379525,1
503,167.0,230.0,109.5,753.5,9.283722,1
2676,124.029412,244.0625,117.34375,634.84375,25.845526,1
1782,134.986711,214.684211,90.684211,476.0,20.111049,1
4589,123.514934,221.72381,103.714286,736.438095,27.49589,1
3705,130.368239,267.654545,175.790909,356.218182,18.804993,1
3883,127.921108,243.643312,140.766879,185.08535,8.5717,1
160,132.873786,198.923077,96.153846,549.538462,26.323882,1
179,149.554688,201.0,94.5,629.5,25.780019,1
1221,139.218519,256.058824,119.705882,781.0,33.274365,1
2153,162.45,217.8,97.0,672.6,25.302964,1
2461,110.281457,212.105263,95.263158,591.789474,30.481001,1
2529,107.818182,276.0,123.0,923.0,20.652977,1
1261,146.95625,255.0,126.0,648.5,19.68756,1
3255,95.429688,215.5,95.875,516.75,29.049258,1
3643,115.640531,212.884615,99.846154,668.125,32.913634,1
458,137.45,228.2,105.9,659.4,20.596116,1
1666,141.354167,230.666667,111.666667,852.333333,18.114604,1
2886,125.042832,214.75,95.305556,444.902778,23.274591,1
3270,142.844595,215.964286,95.071429,499.714286,37.084226,1
4778,127.013889,245.111111,133.222222,358.888889,13.800161,1
480,126.981584,201.647059,89.382353,487.235294,19.787889,1
175,131.501166,200.888889,83.222222,631.481482,28.361424,1
3691,119.460686,237.882353,110.378151,690.516807,26.422729,1
3381,115.652225,233.537037,110.074074,733.240741,23.137131,1
2251,128.258333,215.266667,92.6,395.333333,34.009803,1
693,110.822581,195.419355,85.354839,418.483871,30.500507,1
1395,110.207824,215.615385,99.230769,562.730769,24.653006,1
933,139.058537,269.769231,151.076923,495.0,17.098739,1
3372,111.390625,203.0,90.25,403.5,24.947993,1
1601,147.473404,213.0,99.0,458.0,16.064108,1
1504,142.953947,237.894737,107.105263,811.31579,22.062616,1
3844,129.54272,240.565217,113.858696,632.23913,23.404807,1
1249,124.661307,221.561984,101.727273,517.347107,27.331987,1
758,130.478022,228.478261,109.347826,747.0,20.202566,1
2383,152.284722,234.222222,111.222222,554.0,21.919043,1
2008,132.08548,202.925926,93.185185,389.277778,19.205909,1
4795,135.296667,192.684211,83.526316,460.105263,27.920743,1
985,162.21875,221.0,107.0,437.0,9.0,1
1723,132.28,211.818182,93.727273,494.454546,25.862638,1
4635,127.413249,173.6,74.5,331.05,26.826246,1
4768,105.962185,187.533333,82.466667,347.866667,13.65707,1
4510,134.610417,208.966667,97.566667,756.766667,24.661621,1
585,126.125,201.588235,88.470588,463.882353,17.685057,1
2683,142.888889,235.114286,113.342857,728.257143,24.091492,1
1158,112.152778,258.555556,145.333333,578.555556,31.544452,1
208,133.428412,190.571429,87.375,586.053571,21.826981,1
4242,123.864889,229.075472,107.212264,623.613208,33.655799,1
3424,128.958929,230.2,115.428571,438.971429,28.713134,1
4543,137.384106,215.921053,97.210526,439.368421,17.365251,1
3191,120.003615,250.365385,115.75,912.807692,23.205882,1
4030,122.211407,244.490196,153.617647,351.843137,16.110361,1
1315,124.4125,218.6,103.4,617.1,14.754321,1
89,127.395833,200.333333,99.166667,486.166667,26.023494,1
4178,129.509783,234.25,109.284483,566.310345,35.64903,1
3276,112.271635,190.769231,80.384615,343.615385,39.387564,1
1128,87.3125,199.5,88.0,546.0,7.968689,1
3445,134.356301,218.271429,105.414286,249.242857,15.262974,1
1654,132.822917,218.833333,97.166667,715.666667,27.127272,1
459,117.477941,212.411765,104.470588,611.117647,34.979777,1
418,124.96063,204.0,97.5,498.0,13.056967,1
4569,120.178891,219.2,96.257143,492.428571,20.629407,1
3725,120.633835,216.586567,101.164179,583.777612,36.541547,1
278,99.272152,234.6,96.8,676.0,23.551008,1
3916,115.761798,228.635714,107.578571,623.792857,37.007181,1
1283,90.613636,227.545455,101.818182,525.727273,17.31669,1
3714,129.165171,187.903846,84.602564,242.730769,19.269332,1
3325,132.742004,193.61017,81.79661,297.20339,23.539963,1
1414,139.84127,228.5,105.0,594.75,23.347578,1
