,glcm_pan,mean_g,mean_r,mean_nir,sd_plan,y
3482,133.66076,190.546667,80.693333,329.026667,18.435733,1
2267,136.142424,181.476191,74.809524,329.190476,10.371993,1
3274,139.627013,191.557143,82.328571,329.357143,17.253033,1
771,116.945378,208.8,105.466667,329.4,38.000819,1
3272,136.774194,190.617021,81.375887,329.425532,21.694626,1
972,140.838785,282.925926,169.37037,329.740741,25.533216,1
3123,128.728403,198.1875,85.416667,329.791667,23.258341,1
2785,130.803534,195.213483,84.449438,329.876405,19.980081,1
4460,135.674623,188.98,101.98,329.99,17.858541,0
935,124.71875,240.0,129.0,330.0,19.459895,1
715,135.196464,184.8125,78.625,330.0625,13.377774,1
2839,133.293982,195.966887,84.735099,330.082782,20.08743,1
4122,121.354167,327.416667,238.25,330.5,100.217125,1
988,102.820313,195.1875,91.75,330.875,12.942179,1
2291,132.913313,211.756098,98.073171,330.926829,12.632687,1
4496,118.977401,189.164179,82.626866,330.985075,20.038346,1
4635,127.413249,173.6,74.5,331.05,26.826246,1
731,124.299838,202.384615,98.205128,331.179487,14.194942,1
4097,131.313253,277.361702,167.191489,331.297872,21.846495,1
4401,136.162162,189.571429,99.571429,331.571429,15.590421,0
2991,132.956364,193.211539,84.855769,331.855769,15.41539,1
4413,119.479821,191.928571,105.738095,331.952381,22.491785,0
1008,128.412595,212.793103,95.793103,332.0,18.490807,1
2724,135.464321,188.0,83.107692,332.138462,18.909151,1
2492,123.268696,287.385417,174.447917,332.15625,18.32625,1
2228,119.896163,193.357143,87.678571,332.214286,11.613899,1
3203,139.399915,187.127517,78.583893,332.369128,22.836817,1
2835,117.6875,187.68,82.4,332.4,48.230049,1
20,135.823938,192.232877,115.09589,332.424658,12.805692,0
1219,135.409836,194.548387,87.612903,332.548387,21.1577,1
2757,134.604061,206.6,97.76,332.56,15.458021,1
2574,131.03493,197.825397,88.936508,332.587302,24.435486,1
3739,131.049001,191.950249,85.338308,333.323383,31.302499,1
1998,132.791032,203.12,87.586667,333.386667,21.675383,1
2807,118.583582,195.309524,88.285714,334.0,24.008466,1
778,132.357955,241.393939,129.757576,334.121212,20.504429,1
3652,116.802292,171.045455,79.272727,334.136364,37.850183,1
980,147.548611,327.166667,207.5,334.166667,33.009211,1
2787,112.562796,196.415094,88.207547,334.169811,17.054558,1
3521,114.875,183.0,75.882353,334.235294,33.381511,1
4827,125.428651,279.070175,189.166667,334.254386,8.140318,1
3961,126.184705,325.122449,204.806122,334.357143,16.216238,1
2327,132.0,187.333333,78.647059,334.372549,20.418422,1
4238,130.833693,197.37931,80.482759,334.689655,22.964326,1
4744,140.662992,182.725,76.15,334.8,17.837303,1
717,125.676568,183.578947,79.736842,334.947368,23.425724,1
4586,122.03125,176.25,85.25,335.0,14.439529,0
2980,128.360577,184.651515,77.439394,335.606061,15.907684,1
2206,116.779661,212.666667,99.266667,335.866667,23.065703,1
4131,118.000979,199.78125,87.234375,336.03125,31.078557,1
4320,132.281508,189.761111,83.922222,336.180556,27.000565,1
4264,99.567935,196.26087,85.086957,336.217391,20.070481,1
1573,128.46493,179.063492,77.52381,336.222222,16.296494,1
3359,138.503731,200.676471,81.088235,336.235294,15.136633,1
857,134.195,278.32,183.92,336.52,25.005791,1
4327,120.693452,216.047619,96.97619,336.619048,37.680488,1
4701,141.988938,176.62069,103.62069,336.689655,11.23884,0
2468,130.585202,202.285714,87.142857,336.714286,18.582792,1
914,123.546196,314.826087,205.26087,336.73913,25.10959,1
3486,134.297149,182.842105,76.561404,336.877193,24.588619,1
2737,128.781437,194.476191,89.333333,336.952381,10.893007,1
1948,117.135535,186.927273,82.581818,337.0,31.549023,1
4293,134.103896,196.172414,84.068966,337.017241,31.450677,1
4449,126.706304,194.522727,95.113636,337.113636,10.860569,1
3354,131.326711,195.403509,84.754386,337.192983,19.561632,1
3969,129.053977,340.820225,215.179775,337.269663,25.549598,1
3247,120.358323,201.575758,92.484848,337.565657,23.801521,1
2842,134.53753,184.653846,80.480769,337.730769,19.801904,1
584,140.7125,198.2,83.2,337.733333,14.872196,1
17,121.61126,199.744681,121.06383,338.12766,15.019107,0
4196,132.077141,192.153153,81.567568,338.243243,24.4847,1
2359,125.243056,180.666667,91.666667,338.333333,21.736355,1
276,114.672185,194.157895,87.631579,338.421053,15.188565,1
2349,132.317021,190.881356,80.559322,338.474576,24.591801,1
2120,126.517992,267.552239,154.61194,338.492537,21.772605,1
621,134.921788,196.577778,79.777778,338.533333,18.278828,1
4386,136.742543,190.6875,81.85,338.6,19.535988,1
2738,135.572917,202.041667,84.291667,338.75,26.428625,1
732,133.987854,205.903226,91.193548,338.967742,15.174188,1
4077,128.933856,363.227586,252.503448,338.993103,33.836936,1
2592,129.295455,236.0,127.0,339.0,24.406678,1
4729,128.699134,203.413793,116.965517,339.103448,24.23591,0
1003,150.380682,278.818182,172.181818,339.181818,19.740883,1
4648,135.895288,192.305556,90.694444,339.263889,17.432802,0
3257,119.007853,190.875,84.333333,339.458333,21.061047,1
2596,127.155898,207.09434,104.632076,339.509434,23.440365,1
3632,121.540169,267.239437,162.091549,339.584507,27.975256,1
4476,125.535652,193.287671,112.328767,339.821918,15.305582,0
834,129.30625,261.35,154.55,339.95,31.705835,1
3508,129.30625,261.35,154.55,339.95,31.705835,1
2158,128.459041,198.642857,88.678571,340.017857,27.152316,1
1120,136.270936,187.0,85.538462,340.153846,20.938908,1
3659,133.734408,182.066667,73.488889,340.188889,16.95155,1
4186,127.874935,419.701646,301.360082,340.31893,19.941792,1
4620,117.888158,177.157895,74.947368,340.368421,35.707646,1
2902,127.872443,194.807692,88.346154,340.692308,24.317085,1
2818,120.658065,197.627119,85.254237,340.813559,14.19722,1
3653,132.185824,174.464647,72.838384,340.909091,26.207059,1
4099,140.805158,242.954546,145.590909,341.0,21.936234,1
1205,131.555394,185.837209,77.953488,341.255814,22.77009,1
2558,141.304598,213.181818,104.727273,341.363636,13.561004,1
4521,129.463329,203.516854,88.955056,341.449438,17.43296,1
4821,127.230618,430.28125,293.645833,341.635417,12.076363,1
2371,134.678096,196.382114,83.642276,341.780488,22.788477,1
809,138.833506,189.114754,88.327869,341.885246,16.618747,1
2831,128.131068,232.538462,111.230769,341.923077,24.668932,1
2043,133.878906,211.0,91.0,342.25,15.561245,1
4548,132.812222,193.722581,82.625806,342.251613,18.594305,1
35,130.84965,175.333333,83.402778,342.277778,21.171678,0
4279,129.157118,182.207018,78.010526,342.666667,27.509679,1
3467,150.312,261.5,147.5,343.0,7.615773,1
860,144.533981,246.0,158.0,343.0,29.105806,1
3572,130.048828,205.375,97.0,343.25,29.070429,1
1324,140.58631,192.809524,81.666667,343.333333,20.728676,1
4328,141.38394,257.44,144.64,343.36,39.74624,1
4384,138.537618,204.225,103.675,343.4,27.873722,1
3344,147.227941,190.352941,83.588235,343.411765,12.494428,1
2720,146.589342,182.9,77.9,343.5,12.165114,1
3276,112.271635,190.769231,80.384615,343.615385,39.387564,1
2312,140.756863,194.125,80.25,343.625,17.99034,1
902,91.96875,221.25,110.0,343.75,15.811388,1
4796,136.150485,178.615385,85.461538,343.769231,16.269549,1
1125,135.096977,215.22,99.12,343.94,15.516817,1
831,124.104167,228.666667,114.333333,344.333333,39.92493,1
520,139.014423,198.923077,79.230769,344.384615,24.720449,1
4389,116.095078,185.053571,81.053571,344.625,19.464638,1
2729,138.041551,196.217391,77.217391,344.782609,10.835948,1
1933,117.464674,199.391304,82.565217,344.869565,18.507036,1
1359,132.277946,204.714286,88.666667,344.952381,18.466124,1
823,127.945313,324.0,191.0,345.0,16.274501,1
4380,128.120766,196.302326,111.395349,345.186047,17.701968,0
814,132.173446,187.634146,82.487805,345.207317,16.54394,1
2698,143.163968,188.354839,79.193548,345.322581,16.182621,1
2366,138.808338,190.482759,81.767241,345.689655,22.146045,1
3464,132.98659,234.969697,140.530303,345.893939,10.63836,1
2052,136.644695,224.128205,107.871795,346.0,25.308069,1
4038,124.465699,330.989474,201.473684,346.073684,40.382279,1
3314,125.769231,198.341463,88.756098,346.170732,24.513032,1
4520,130.600807,192.52381,84.666667,346.206349,18.744547,1
3462,158.875,239.2,119.6,346.4,14.656057,1
4280,131.556434,199.68,90.08,346.491429,27.633039,1
4712,121.946203,195.8,93.6,346.8,15.829087,1
3656,128.624771,187.440678,80.789346,347.104116,29.997974,1
1952,130.164158,190.602273,82.909091,347.284091,15.568294,1
916,126.802778,309.244444,179.911111,347.288889,19.613097,1
134,133.612211,178.5,73.815789,347.289474,18.836536,1
4424,124.628947,189.416667,99.041667,347.333333,24.653396,0
3289,120.285489,190.675,84.8,347.375,33.179813,1
1061,148.607639,293.444444,204.111111,347.5,44.786186,1
3936,121.2125,195.166667,88.033333,347.533333,39.113794,1
4768,105.962185,187.533333,82.466667,347.866667,13.65707,1
2068,124.416174,204.9375,89.5625,347.875,15.304175,1
4342,141.345098,180.875,81.5,348.0625,18.213577,1
1496,138.178133,191.411765,83.921569,348.176471,13.638125,1
795,144.250896,219.257143,107.714286,348.485714,15.830119,1
1009,129.859833,269.666667,158.0,348.633333,15.407213,1
2402,127.403802,194.445783,85.048193,348.686747,17.530588,1
4041,134.737892,348.818182,238.159091,348.977273,41.155238,1
2223,132.922195,185.766234,78.558442,349.402597,25.591139,1
4594,133.532538,192.80315,110.283465,349.834646,21.066013,0
906,136.13948,287.509434,183.169811,350.113208,25.055794,1
2840,117.665563,182.842105,85.473684,350.157895,20.452499,1
2341,128.788889,199.176471,89.558824,350.411765,18.326905,1
4662,134.412195,194.961539,114.538462,350.692308,14.621304,0
2397,112.804688,192.75,93.75,350.75,49.348094,1
913,111.458333,297.0,164.0,351.0,8.178563,1
391,138.14346,186.8,83.8,351.0,15.887941,1
4733,145.051383,195.0625,86.9375,351.0,17.51506,1
1959,105.984375,181.25,76.75,351.25,42.074153,1
2716,134.776596,196.333333,87.833333,351.333333,9.30883,1
1945,141.032356,184.84127,81.984127,351.444444,13.684455,1
4471,115.678571,186.142857,76.428571,351.571429,30.358403,1
4494,121.198695,197.471264,118.022989,351.574713,15.5256,0
3333,145.084211,197.611111,85.166667,351.611111,20.971542,1
4030,122.211407,244.490196,153.617647,351.843137,16.110361,1
3415,114.75,232.916667,125.833333,351.916667,22.885433,1
4619,134.309816,198.780488,91.658537,352.02439,20.943452,1
1000,135.148148,309.318182,221.318182,352.204546,36.435632,1
845,137.33878,232.793103,121.724138,352.396552,15.740662,1
194,127.307544,178.061539,72.969231,352.430769,22.084378,1
1037,128.919643,323.714286,223.857143,353.0,10.47251,1
2703,125.816594,196.222222,85.236111,353.152778,23.232504,1
4261,122.57453,287.62069,212.011494,353.333333,25.881709,1
3228,87.3125,195.0,83.0,353.5,7.822244,1
908,151.375,297.909091,210.818182,353.727273,31.167635,1
4045,138.431035,467.181818,255.772727,353.727273,41.725193,1
816,132.408377,232.166667,124.833333,353.833333,18.008486,1
4473,143.458225,191.916667,79.770833,353.916667,18.092308,1
2816,144.92132,197.8,85.92,353.96,14.99632,1
2285,133.509615,187.434783,77.5,354.217391,17.524665,1
1,124.739583,202.8,115.333333,354.333333,16.707151,0
1039,113.738676,260.333333,149.666667,354.333333,18.278706,1
3125,135.580037,197.615385,88.336538,354.384615,18.105736,1
2474,137.1693,203.892857,85.285714,354.607143,23.882472,1
2263,119.017964,188.333333,82.47619,354.666667,21.717836,1
1028,142.319853,322.235294,221.0,354.764706,37.519361,1
2925,89.8125,190.8,83.2,354.8,8.704022,1
2833,112.595238,190.285714,83.285714,355.142857,31.16673,1
3689,132.419862,185.859375,79.796875,355.46875,20.70543,1
989,104.796875,289.5,183.5,355.5,36.643553,1
4034,125.946106,403.830986,201.289738,355.871227,8.64578,1
1084,133.642857,214.333333,95.428571,355.904762,24.900983,1
4780,81.125,195.0,81.8,356.0,10.906879,1
744,117.254417,204.0,95.5,356.0,15.722909,1
3705,130.368239,267.654545,175.790909,356.218182,18.804993,1
4500,124.526731,188.027778,97.222222,356.291667,17.160912,1
3232,127.159193,206.392857,92.833333,356.666667,20.122837,1
4606,129.340278,183.666667,72.333333,356.666667,29.208066,1
2995,136.390729,184.403509,79.719298,356.842105,15.524165,1
918,120.860577,334.615385,222.230769,357.076923,26.360271,1
3701,128.437222,264.113924,178.911392,357.139241,11.740518,1
2776,125.882353,260.117647,148.823529,357.411765,24.566272,1
2904,116.390777,200.846154,91.384615,357.423077,19.258903,1
1053,178.796875,326.0,228.0,357.5,14.941553,1
1052,76.515625,326.0,228.0,357.5,17.078861,1
3748,134.806533,193.32,86.546667,357.666667,23.801386,1
1096,137.066358,186.317073,85.95122,357.682927,10.836297,1
2717,131.682446,196.78125,87.4375,358.140625,30.602734,1
2268,132.720879,188.011628,80.116279,358.151163,26.477194,1
1133,159.0875,229.9,125.0,358.3,9.656086,1
3970,130.820713,345.070175,232.45614,358.438597,24.046329,1
1360,126.468599,205.923077,90.0,358.615385,26.847586,1
2733,138.112527,194.966667,83.366667,358.733333,14.90548,1
4778,127.013889,245.111111,133.222222,358.888889,13.800161,1
3246,128.100245,200.272727,85.688312,358.948052,21.816922,1
1041,153.414063,356.5,231.5,359.0,26.129485,1
4123,88.3125,344.666667,256.0,359.333333,73.079865,1
3685,122.724891,201.448276,87.655172,359.344828,22.801005,1
4466,126.019886,186.181818,79.909091,359.590909,16.30165,1
4126,128.590983,275.3663,193.791209,359.732601,19.04444,1
3496,123.9375,184.882353,83.294118,359.735294,47.138104,1
31,126.527972,178.777778,85.111111,359.777778,11.080513,0
2086,129.691071,205.037736,90.377358,359.95283,22.807671,1
847,122.150877,307.722222,200.0,360.0,36.228058,1
4554,87.587302,186.25,84.0,360.0,14.840822,1
3509,122.150877,307.722222,200.0,360.0,36.228058,1
3864,121.088363,426.687831,304.216931,360.179894,24.990336,1
1064,110.179894,288.75,173.333333,360.25,12.893528,1
2063,134.009121,213.671053,104.407895,360.25,29.487051,1
4668,130.527482,199.649351,109.987013,360.311688,17.748406,0
